dataset,source,target,pearson_r,abs_pearson_r,r2,n
Reid CV1,node_stiffness_mean,final_y_strain,-0.8709718277256545,0.8709718277256545,0.7585919246917672,67
Reid CV1,node_stiffness_mean,final_mean_abs_dx,0.2518363993101736,0.2518363993101736,0.06342157201751321,67
Reid CV1,node_stiffness_mean,final_mean_abs_dy,0.3082485625626279,0.3082485625626279,0.09501717632192633,67
Reid CV1,node_stiffness_mean,final_disp_anisotropy,-0.12048449646090806,0.12048449646090806,0.014516513887438567,67
Reid CV1,node_stiffness_mean,final_p_ratio,-0.8847677985474286,0.8847677985474286,0.7828140573464631,67
Reid CV1,node_stiffness_mean,initial_z0,-0.9633711711184301,0.9633711711184301,0.9280840133420954,67
Reid CV1,node_stiffness_mean,initial_z_linear_p_ratio,-0.9633711711184301,0.9633711711184301,0.9280840133420954,67
Reid CV2,stiffness_std,early_x_strain,-0.10413402815449405,0.10413402815449405,0.01084389581968096,67
Reid CV2,stiffness_std,early_y_strain,-0.9641961399528559,0.9641961399528559,0.9296741962999873,67
Reid CV2,stiffness_std,early_mean_abs_dx,-0.07392647559379284,0.07392647559379284,0.005465123793719649,67
Reid CV2,stiffness_std,early_mean_abs_dy,-0.8341202004889426,0.8341202004889426,0.6957565088637139,67
Reid CV2,stiffness_std,early_disp_anisotropy,0.6052385295536644,0.6052385295536644,0.3663136776562819,67
Reid CV2,stiffness_std,final_x_strain,0.029529271161075305,0.029529271161075305,0.0008719778553043137,67
Reid CV2,stiffness_std,final_y_strain,-0.9269146005962152,0.9269146005962152,0.8591706767984412,67
Reid CV2,stiffness_std,final_mean_abs_dx,0.2727442260551562,0.2727442260551562,0.07438941284642614,67
Reid CV2,stiffness_std,final_mean_abs_dy,0.25072646884116645,0.25072646884116645,0.06286376217756041,67
Reid CV2,stiffness_std,final_disp_anisotropy,-0.06139284887874558,0.06139284887874558,0.003769081893448493,67
Reid CV2,stiffness_std,final_p_ratio,-0.9508393555075176,0.9508393555075176,0.9040954799819515,67
Reid CV2,stiffness_std,initial_z0,-0.9287984252582829,0.9287984252582829,0.8626665147622662,67
Reid CV2,stiffness_std,initial_z_linear_p_ratio,-0.9281300836004868,0.9281300836004868,0.8614254520842466,67
Reid CV2,stiffness_mean,early_x_strain,-0.17267792954212308,0.17267792954212308,0.02981766735095442,67
Reid CV2,stiffness_mean,early_y_strain,-0.8892772251399014,0.8892772251399014,0.7908139831525228,67
Reid CV2,stiffness_mean,early_mean_abs_dx,-0.09617203719666233,0.09617203719666233,0.009249060738556202,67
Reid CV2,stiffness_mean,early_mean_abs_dy,-0.7674589233818958,0.7674589233818958,0.5889931990784987,67
Reid CV2,stiffness_mean,early_disp_anisotropy,0.5689255060505244,0.5689255060505244,0.32367623143484525,67
Reid CV2,stiffness_mean,final_x_strain,-0.05907117930957842,0.05907117930957842,0.0034894042250243657,67
Reid CV2,stiffness_mean,final_y_strain,-0.8702878155319768,0.8702878155319768,0.75740088186342,67
Reid CV2,stiffness_mean,final_mean_abs_dx,0.2520596026003881,0.2520596026003881,0.06353404326306558,67
Reid CV2,stiffness_mean,final_mean_abs_dy,0.31143315269205646,0.31143315269205646,0.09699060859571375,67
Reid CV2,stiffness_mean,final_disp_anisotropy,-0.12329031441212972,0.12329031441212972,0.015200501627841801,67
Reid CV2,stiffness_mean,final_p_ratio,-0.8850889306642375,0.8850889306642375,0.7833824151843635,67
Reid CV2,stiffness_mean,initial_z0,-0.9842789454703745,0.9842789454703745,0.9688050424962725,67
Reid CV2,stiffness_mean,initial_z_linear_p_ratio,-0.9836298228896365,0.9836298228896365,0.9675276284778977,67
Reid CV2,horizontal_stiffness,early_x_strain,-0.21331040225827758,0.21331040225827758,0.04550132771158819,67
Reid CV2,horizontal_stiffness,early_y_strain,-0.9230215295482515,0.9230215295482515,0.8519687440095937,67
Reid CV2,horizontal_stiffness,early_mean_abs_dx,-0.03354021534260876,0.03354021534260876,0.001124946045228568,67
Reid CV2,horizontal_stiffness,early_mean_abs_dy,-0.7568808296670448,0.7568808296670448,0.5728685903174742,67
Reid CV2,horizontal_stiffness,early_disp_anisotropy,0.5913318602033152,0.5913318602033152,0.34967336889151307,67
Reid CV2,horizontal_stiffness,final_x_strain,-0.11118180309887768,0.11118180309887768,0.012361393340317606,67
Reid CV2,horizontal_stiffness,final_y_strain,-0.904707074817667,0.904707074817667,0.8184948912251397,67
Reid CV2,horizontal_stiffness,final_mean_abs_dx,0.28959527397055607,0.28959527397055607,0.08386542270608142,67
Reid CV2,horizontal_stiffness,final_mean_abs_dy,0.3615415105200264,0.3615415105200264,0.13071226382910237,67
Reid CV2,horizontal_stiffness,final_disp_anisotropy,-0.12014431454336603,0.12014431454336603,0.014434656317095276,67
Reid CV2,horizontal_stiffness,final_p_ratio,-0.9295801825774734,0.9295801825774734,0.8641193158407688,67
Reid CV2,horizontal_stiffness,initial_z0,-0.937043765671834,0.937043765671834,0.8780510187844509,67
Reid CV2,horizontal_stiffness,initial_z_linear_p_ratio,-0.9364001340211286,0.9364001340211286,0.8768452109947877,67
Reid CV2,vertical_stiffness,early_x_strain,-0.12174228978889452,0.12174228978889452,0.014821185123043172,67
Reid CV2,vertical_stiffness,early_y_strain,-0.8882360164461364,0.8882360164461364,0.788963220912101,67
